Name,State,Latitude,Longitude,Status,Commodity Group
Mount Garnet,QLD,-17.6849,145.1126,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Mount Holland,WA,-32.087573,119.74847,Developing mine,Lithium
Mount Isa ,QLD,-20.743392,139.478345,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Keith,WA,-27.229599,120.54174,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Lindsay,TAS,-41.69731,145.32857,Developing mine,"Other metals - Sn, W, Ta, Ti"
Mount Lyell,TAS,-42.061,145.5855,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Magnet,WA,-28.0602,117.7834,Operating mine,"Precious metals - Au, Ag, PGE"
Mount Marion,WA,-31.0738,121.4611,Operating mine,Lithium
Mount Moss,QLD,-19.085818,145.84711,Care and maintenance,Iron ore
Mount Newman,WA,-23.355737,119.677787,Operating mine,Iron ore
Mount Owen,NSW,-32.38684,151.099981,Operating mine,Coal
Mount Peake,NT,-21.637,133.286,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Pleasant,NSW,-32.236842,150.839983,Operating mine,Coal
Mount Rawdon,QLD,-25.2713,151.7641,Operating mine,"Precious metals - Au, Ag, PGE"
Mount Thorley,NSW,-32.63741,151.108624,Operating mine,Coal
Mount Tom Price,WA,-22.76352,117.771357,Operating mine,Iron ore
Mount Webber,WA,-21.537,119.289,Operating mine,Iron ore
Mount Weld,WA,-28.859949,122.547523,Operating mine,Rare earth elements 
Mountain of Light,SA,-30.578933,138.451284,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mulga Rock,WA,-29.904345,123.592004,Developing mine,Uranium
Mungana,QLD,-17.0991,144.3825,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Munglinup,WA,-33.66352,120.858621,Developing mine,Graphite
Murrawombie,NSW,-31.2586,146.8719,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Murrin Murrin,WA,-28.7668,121.893,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Muswellbrook,NSW,-32.244988,150.941392,Operating mine,Coal
Myrtle Springs,SA,-30.4168,138.2258,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Myuna,NSW,-33.060111,151.568738,Operating mine,Coal
